,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
252,NORTH PARK,92.0,147.0,2014-04-01,2014,4,75,2014-05-01
253,WEST ELSDON,248.0,132.0,2014-04-01,2014,4,69,2014-05-01
254,CHICAGO LAWN,542.0,312.0,2014-04-01,2014,4,561,2014-05-01
255,ROGERS PARK,189.0,241.0,2014-04-01,2014,4,340,2014-05-01
256,FOREST GLEN,13.0,226.0,2014-04-01,2014,4,43,2014-05-01
257,UPTOWN,116.0,162.0,2014-04-01,2014,4,328,2014-05-01
258,AUSTIN,109.0,687.0,2014-04-01,2014,4,1771,2014-05-01
259,GRAND BOULEVARD,17.0,79.0,2014-04-01,2014,4,348,2014-05-01
260,BRIDGEPORT,311.0,100.0,2014-04-01,2014,4,154,2014-05-01
261,NEW CITY,258.0,258.0,2014-04-01,2014,4,453,2014-05-01
262,LOWER WEST SIDE,1186.0,176.0,2014-04-01,2014,4,266,2014-05-01
263,BELMONT CRAGIN,717.0,512.0,2014-04-01,2014,4,481,2014-05-01
264,BRIGHTON PARK,1024.0,135.0,2014-04-01,2014,4,260,2014-05-01
265,LOGAN SQUARE,945.0,595.0,2014-04-01,2014,4,476,2014-05-01
266,HERMOSA,213.0,136.0,2014-04-01,2014,4,154,2014-05-01
267,SOUTH DEERING,101.0,197.0,2014-04-01,2014,4,220,2014-05-01
268,GARFIELD RIDGE,276.0,465.0,2014-04-01,2014,4,162,2014-05-01
269,NEAR NORTH SIDE,160.0,364.0,2014-04-01,2014,4,810,2014-05-01
270,EAST SIDE,71.0,126.0,2014-04-01,2014,4,148,2014-05-01
271,IRVING PARK,533.0,647.0,2014-04-01,2014,4,283,2014-05-01
272,CLEARING,43.0,239.0,2014-04-01,2014,4,87,2014-05-01
273,JEFFERSON PARK,125.0,288.0,2014-04-01,2014,4,114,2014-05-01
274,AVONDALE,576.0,209.0,2014-04-01,2014,4,192,2014-05-01
275,NEAR SOUTH SIDE,50.0,74.0,2014-04-01,2014,4,148,2014-05-01
276,GAGE PARK,921.0,278.0,2014-04-01,2014,4,257,2014-05-01
277,LINCOLN SQUARE,334.0,267.0,2014-04-01,2014,4,172,2014-05-01
278,ALBANY PARK,396.0,321.0,2014-04-01,2014,4,216,2014-05-01
279,WEST TOWN,1234.0,586.0,2014-04-01,2014,4,686,2014-05-01
280,SOUTH CHICAGO,93.0,233.0,2014-04-01,2014,4,451,2014-05-01
281,WEST LAWN,144.0,213.0,2014-04-01,2014,4,194,2014-05-01
282,SOUTH LAWNDALE,1006.0,226.0,2014-04-01,2014,4,478,2014-05-01
283,FULLER PARK,1.0,5.0,2014-05-01,2014,5,78,2014-06-01
284,OHARE,2.0,42.0,2014-05-01,2014,5,186,2014-06-01
285,HYDE PARK,6.0,83.0,2014-05-01,2014,5,164,2014-06-01
286,HEGEWISCH,3.0,32.0,2014-05-01,2014,5,56,2014-06-01
287,EDISON PARK,4.0,139.0,2014-05-01,2014,5,21,2014-06-01
288,WOODLAWN,8.0,116.0,2014-05-01,2014,5,366,2014-06-01
289,WEST GARFIELD PARK,19.0,80.0,2014-05-01,2014,5,560,2014-06-01
290,WEST ENGLEWOOD,10.0,143.0,2014-05-01,2014,5,681,2014-06-01
291,CHATHAM,1.0,156.0,2014-05-01,2014,5,555,2014-06-01
292,FOREST GLEN,29.0,156.0,2014-05-01,2014,5,37,2014-06-01
293,AVALON PARK,9.0,123.0,2014-05-01,2014,5,131,2014-06-01
294,MORGAN PARK,1.0,128.0,2014-05-01,2014,5,220,2014-06-01
295,WASHINGTON PARK,3.0,75.0,2014-05-01,2014,5,305,2014-06-01
296,WASHINGTON HEIGHTS,8.0,142.0,2014-05-01,2014,5,303,2014-06-01
297,KENWOOD,6.0,26.0,2014-05-01,2014,5,146,2014-06-01
298,GREATER GRAND CROSSING,6.0,195.0,2014-05-01,2014,5,600,2014-06-01
299,NEAR SOUTH SIDE,57.0,61.0,2014-05-01,2014,5,213,2014-06-01
300,SOUTH LAWNDALE,976.0,167.0,2014-05-01,2014,5,477,2014-06-01
301,MONTCLARE,30.0,164.0,2014-05-01,2014,5,51,2014-06-01
302,ROGERS PARK,175.0,195.0,2014-05-01,2014,5,360,2014-06-01
303,WEST PULLMAN,32.0,114.0,2014-05-01,2014,5,391,2014-06-01
304,EAST SIDE,30.0,83.0,2014-05-01,2014,5,114,2014-06-01
305,NEW CITY,327.0,191.0,2014-05-01,2014,5,490,2014-06-01
306,PULLMAN,1.0,48.0,2014-05-01,2014,5,140,2014-06-01
307,LAKE VIEW,688.0,370.0,2014-05-01,2014,5,628,2014-06-01
308,CLEARING,36.0,210.0,2014-05-01,2014,5,84,2014-06-01
309,DUNNING,90.0,290.0,2014-05-01,2014,5,124,2014-06-01
310,NORTH CENTER,300.0,174.0,2014-05-01,2014,5,127,2014-06-01
311,ARCHER HEIGHTS,213.0,90.0,2014-05-01,2014,5,91,2014-06-01
312,SOUTH CHICAGO,49.0,92.0,2014-05-01,2014,5,527,2014-06-01
313,SOUTH DEERING,31.0,120.0,2014-05-01,2014,5,221,2014-06-01
314,LINCOLN SQUARE,631.0,164.0,2014-05-01,2014,5,178,2014-06-01
315,LOOP,146.0,197.0,2014-05-01,2014,5,642,2014-06-01
316,CHICAGO LAWN,238.0,209.0,2014-05-01,2014,5,601,2014-06-01
317,AUSTIN,99.0,441.0,2014-05-01,2014,5,1627,2014-06-01
318,WEST ELSDON,173.0,77.0,2014-05-01,2014,5,92,2014-06-01
319,SOUTH SHORE,17.0,177.0,2014-05-01,2014,5,943,2014-06-01
